datetime,open,high,low,close,volume
2010-05-28,0.85039,0.8549400000000000,0.8428100000000000,0.84716,0
2010-05-31,0.8455800000000000,0.8513800000000000,0.8383200000000000,0.84693,0
2010-06-01,0.8466800000000000,0.84749,0.82814,0.83067,0
2010-06-02,0.83076,0.84251,0.8274600000000000,0.84145,0
2010-06-03,0.8415,0.85214,0.8363800000000000,0.8420200000000000,694000000
2010-06-04,0.84203,0.8476,0.82121,0.8231300000000000,0
2010-06-07,0.8225100000000000,0.8226700000000000,0.8081,0.8094400000000000,0
2010-06-08,0.8094,0.8284,0.8087300000000000,0.82668,0
2010-06-09,0.8265900000000000,0.83567,0.8194100000000000,0.82789,0
2010-06-10,0.82778,0.85077,0.8265900000000000,0.84854,0
2010-06-11,0.84845,0.85049,0.8425600000000000,0.8501,0
2010-06-14,0.8516100000000000,0.8666200000000000,0.8508100000000000,0.8581,0
2010-06-15,0.8580900000000000,0.86605,0.85051,0.8645300000000000,0
2010-06-16,0.8645200000000000,0.86718,0.8580700000000000,0.8620400000000000,0
2010-06-17,0.86208,0.8687300000000000,0.8582300000000000,0.86711,0
2010-06-18,0.86711,0.8728600000000000,0.86515,0.87184,0
2010-06-21,0.8806300000000000,0.8858300000000000,0.8752200000000000,0.8760600000000000,0
2010-06-22,0.8760700000000000,0.8829600000000000,0.87015,0.8714,0
2010-06-23,0.87165,0.87795,0.866,0.87385,0
2010-06-24,0.8738300000000000,0.8769,0.8640700000000000,0.8663200000000000,0
2010-06-25,0.8663,0.87574,0.8594800000000000,0.87375,0
2010-06-28,0.874,0.8774700000000000,0.87064,0.87145,0
2010-06-29,0.8715,0.872,0.8463800000000000,0.84919,0
2010-06-30,0.8492200000000000,0.8564700000000000,0.83893,0.8405300000000000,0
2010-07-01,0.84044,0.8478900000000000,0.8315300000000000,0.8476300000000000,0
2010-07-02,0.84767,0.8508600000000000,0.8401800000000000,0.8413800000000000,0
2010-07-05,0.84116,0.84667,0.8370300000000000,0.83972,0
2010-07-06,0.83978,0.8559100000000000,0.8315600000000000,0.85149,0
2010-07-07,0.85149,0.86621,0.8449,0.86292,0
2010-07-08,0.8629700000000000,0.8789900000000000,0.8621200000000000,0.8763300000000000,0
2010-07-09,0.87631,0.8786,0.87269,0.8773300000000000,0
2010-07-12,0.8772700000000000,0.87751,0.8700900000000000,0.87672,0
2010-07-13,0.87669,0.8840900000000000,0.8681700000000000,0.88346,0
2010-07-14,0.8834200000000000,0.88699,0.87849,0.8834800000000000,0
2010-07-15,0.88349,0.88479,0.8726800000000000,0.88355,0
2010-07-16,0.8835800000000000,0.88366,0.86811,0.86872,0
2010-07-19,0.86656,0.8718100000000000,0.8632200000000000,0.86882,0
2010-07-20,0.8686200000000000,0.88446,0.86665,0.88366,0
2010-07-21,0.88364,0.8858600000000000,0.8762200000000000,0.8768600000000000,0
2010-07-22,0.87684,0.89518,0.8736700000000000,0.8931100000000000,0
2010-07-23,0.89312,0.8969800000000000,0.88955,0.8954,0
2010-07-26,0.8957,0.9034700000000000,0.8927200000000000,0.9016200000000000,0
2010-07-27,0.9016800000000000,0.90681,0.89985,0.90085,0
2010-07-28,0.9008700000000000,0.9024,0.89045,0.8907300000000000,0
2010-07-29,0.8907300000000000,0.9042100000000000,0.8906800000000000,0.90075,0
2010-07-30,0.90069,0.9065700000000000,0.8965,0.90415,0
2010-08-02,0.90595,0.9144700000000000,0.9044200000000000,0.91261,0
2010-08-03,0.91259,0.91486,0.90701,0.91253,0
2010-08-04,0.91261,0.91817,0.9094,0.9162100000000000,0
2010-08-05,0.9161800000000000,0.91732,0.91156,0.9152300000000000,0
